days,total_strain_micro
9.863013699,-705
10.95890411,-1145.647482
15.34246575,-1422.625899
21.91780822,-1687.014389
29.5890411,-1888.453238
41.64383562,-2077.302158
64.65753425,-2316.510792
81.09589041,-2442.410072
93.15068493,-2530.539569
108.4931507,-2606.079137
129.3150685,-2731.978417
146.8493151,-2782.33813
160,-2832.697842
173.1506849,-2870.467626
188.4931507,-2908.23741
202.739726,-2920.827338
216.9863014,-2933.417266
230.1369863,-2958.597122
244.3835616,-2983.776979
258.630137,-2996.366907
287.1232877,-3034.136691
301.369863,-3034.136691
316.7123288,-3046.726619
330.9589041,-3059.316547